,Neighborhood,Neighborhood_ID,ratio_incidents,LATITUD,LONGITUD
0,el Raval,1.0,0.57821417,41.379733,2.164073
1,el Barri Gòtic,2.0,1.139621,41.379188,2.1796450000000003
2,la Barceloneta,3.0,0.60438293,41.385576,2.194025
3,"Sant Pere, Santa Caterina i la Ribera",4.0,0.54085934,41.387252,2.17548
4,el Fort Pienc,5.0,0.26151243,41.398772,2.185167
5,la Sagrada Família,6.0,0.18727963,41.402956,2.171536
6,la detra de Eixample,,,,
7,l'Antiga Esquerra de l'Eixample,8.0,0.22970442,41.386577,2.164039
8,la Nova Esquerra de l'Eixample,9.0,0.15324154,41.386861,2.149925
9,Sant Antoni,10.0,0.22853768,41.375936,2.163198
10,el Poble-sec,11.0,0.33362854,41.371403,2.157551
11,la Marina del Prat Vermell,12.0,3.8583765,41.354433,2.142937
12,la Marina de Port,13.0,0.12883236,41.355474,2.145239
13,la Font de la Guatlla,14.0,0.13815661,41.372075,2.146444
14,Hostafrancs,15.0,0.2638338,41.373155,2.144773
15,la Bordeta,16.0,0.151213,41.371504,2.140037
16,Sants - Badal,17.0,0.11416747,41.371862,2.128093
17,Sants,18.0,0.16362178,41.379274,2.136189
18,les Corts,19.0,0.15407388,41.382926,2.134879
19,la Maternitat i Sant Ramon,20.0,0.19663817,41.383756,2.112768
20,Pedralbes,21.0,0.27675584,41.387901,2.114678
21,"Vallvidrera, el Tibidabo i les Planes",22.0,0.35568327,41.416052,2.101802
22,Sarrià,23.0,0.23147146,41.396942,2.1187970000000003
23,les Tres Torres,24.0,0.13334534,41.394938,2.127836
24,Sant Gervasi - la Bonanova,25.0,0.20143996,41.406033,2.12324
25,Sant Gervasi - Galvany,26.0,0.19674748,41.401324,2.141371
26,el Putxet i el Farró,27.0,0.13572252,41.40711500000001,2.146052
27,Vallcarca i els Penitents,28.0,0.2527853,41.414153000000006,2.141956
28,el Coll,29.0,0.1494547,41.420162,2.151118
29,la Salut,30.0,0.16099001,41.41350900000001,2.153135
30,la Vila de Gràcia,31.0,0.24546072,41.406917,2.153191
31,el Camp d'en Grassot i Gràcia Nova,32.0,0.1131966,41.405251,2.165362
32,el Baix Guinardó,33.0,0.105820514,41.40858,2.1675880000000003
33,Can Baró,34.0,0.12548369,41.416562,2.162104
34,el Guinardó,35.0,0.11252279,41.412416,2.175768
35,la Font d'en Fargues,36.0,0.14358431,41.426208,2.165862
36,el Carmel,37.0,0.14459464,41.422415,2.152496
37,la Teixonera,38.0,0.11789038,41.42194600000001,2.147554
38,Sant Genís dels Agudells,39.0,0.20940171,41.420833,2.139076
39,Montbau,40.0,0.31509545,41.435755,2.147166
40,la Vall d'Hebron,41.0,0.4581298,41.43485,2.148164
41, la Clota,,,,
42,Horta,43.0,0.17214982,41.434525,2.155207
43,Vilapicina i la Torre Llobeta,44.0,0.15592174,41.428812,2.176841
44,Porta,45.0,0.13951388,41.431466,2.176745
45,el Turó de la Peira,46.0,0.1566079,41.431706,2.166917
46,Can Peguera,47.0,0.23412699,41.436347,2.164928
47,la Guineueta,48.0,0.15958352,41.440794,2.167679
48,Canyelles,49.0,0.16368659,41.442942,2.16335
49,les Roquetes,50.0,0.14537585,41.44818400000001,2.178608
50,Verdun,51.0,0.15149073,41.442522,2.175301
51,la Prosperitat,52.0,0.14868893,41.440592,2.1805630000000003
52,la Trinitat Nova,53.0,0.2320991,41.448733,2.184592
53,Torre Baró,54.0,0.27986112,41.459986,2.181035
54,Ciutat Meridiana,55.0,0.14632763,41.460486,2.175162
55,Vallbona,56.0,0.28336903,41.462949,2.182793
56,la Trinitat Vella,57.0,0.24493058,41.45048,2.191216
57,Baró de Viver,58.0,0.23183255,41.446787,2.201171
58,el Bon Pastor,59.0,0.29716536,41.444071,2.202441
59,Sant Andreu,60.0,0.13108374,41.446094,2.193292
60,la Sagrera,61.0,0.17137477,41.421049,2.187421
61,el Congrés i els Indians,62.0,0.13001412,41.424569,2.178996
62,Navas,63.0,0.13156345,41.418078,2.181434
63,el Camp de l'Arpa del Clot,64.0,0.12489522,41.416757,2.183661
64,el Clot,65.0,0.11156224,41.40847700000001,2.192809
65,el Parc i la Llacuna del Poblenou,66.0,0.50852233,41.4037,2.193572
66,la Vila Olímpica del Poblenou,67.0,0.5187264,41.393638,2.19662
67,el Poblenou,68.0,0.20041957,41.397726,2.195649
68,Diagonal Mar i el Front Marítim del Poblenou,69.0,0.27118018,41.404315,2.211487
69,el Besòs i el Maresme,70.0,0.19192605,41.418331,2.210653
70,Provençals del Poblenou,71.0,0.1726892,41.416222,2.204847
71,Sant Martí de Provençals,72.0,0.10870652,41.416227,2.199384
72,la Verneda i la Pau,73.0,0.1082745,41.423208,2.201626
