,Neighborhood,Neighborhood_ID,school_by_population,LATITUD,LONGITUD
0,el Raval,1.0,0.0034836817015034835,41.379733,2.164073
1,el Barri Gòtic,2.0,0.006130790190735695,41.379188,2.1796450000000003
2,la Barceloneta,3.0,0.008712871287128714,41.385576,2.194025
3,"Sant Pere, Santa Caterina i la Ribera",4.0,0.006507088078085057,41.387252000000004,2.17548
4,el Fort Pienc,5.0,0.002614178071659234,41.398771999999994,2.185167
5,la Sagrada Família,6.0,0.002257567983581324,41.402956,2.171536
6,la detra de Eixample,,,,
7,l'Antiga Esquerra de l'Eixample,8.0,0.0055575691675727925,41.386577,2.164039
8,la Nova Esquerra de l'Eixample,9.0,0.003837719298245614,41.386860999999996,2.149925
9,Sant Antoni,10.0,0.003269832243389252,41.375935999999996,2.163198
10,el Poble-sec,11.0,0.0035308953341740227,41.371403,2.1575509999999998
11,la Marina del Prat Vermell,12.0,0.016,41.354433,2.142937
12,la Marina de Port,13.0,0.003780718336483932,41.355474,2.145239
13,la Font de la Guatlla,14.0,0.007832898172323759,41.372075,2.146444
14,Hostafrancs,15.0,0.005754475703324808,41.373155,2.144773
15,la Bordeta,16.0,0.0034833869239013935,41.371503999999995,2.140037
16,Sants - Badal,17.0,0.0017241379310344827,41.371862,2.1280930000000002
17,Sants,18.0,0.004494655004859086,41.379274,2.136189
18,les Corts,19.0,0.0041560102301790285,41.382926,2.134879
19,la Maternitat i Sant Ramon,20.0,0.015034538805363673,41.383756,2.112768
20,Pedralbes,21.0,0.017813267813267815,41.387901,2.114678
21,"Vallvidrera, el Tibidabo i les Planes",22.0,0.005772005772005772,41.416052,2.101802
22,Sarrià,23.0,0.007775617883921133,41.396941999999996,2.1187970000000003
23,les Tres Torres,24.0,0.001199040767386091,41.394938,2.127836
24,Sant Gervasi - la Bonanova,25.0,0.008889516015239171,41.406033,2.12324
25,Sant Gervasi - Galvany,26.0,0.0027583968846341066,41.401324,2.141371
26,el Putxet i el Farró,27.0,0.0020729684908789387,41.407115000000005,2.146052
27,Vallcarca i els Penitents,28.0,0.006109414051652319,41.414153000000006,2.141956
28,el Coll,29.0,0.0012277470841006752,41.420162,2.151118
29,la Salut,30.0,0.006099748833871547,41.413509000000005,2.153135
30,la Vila de Gràcia,31.0,0.004788175288851879,41.406917,2.153191
31,el Camp d'en Grassot i Gràcia Nova,32.0,0.0028114826871855577,41.405251,2.165362
32,el Baix Guinardó,33.0,0.0047169811320754715,41.40858,2.1675880000000003
33,Can Baró,34.0,0.0021798365122615805,41.416562,2.1621040000000002
34,el Guinardó,35.0,0.0037385587211550856,41.412416,2.175768
35,la Font d'en Fargues,36.0,0.01084010840108401,41.426208,2.1658619999999997
36,el Carmel,37.0,0.0024296126911533514,41.422415,2.1524959999999997
37,la Teixonera,38.0,0.0007964954201513341,41.421946000000005,2.147554
38,Sant Genís dels Agudells,39.0,0.0039946737683089215,41.420833,2.1390759999999998
39,Montbau,40.0,0.019940179461615155,41.435755,2.147166
40,la Vall d'Hebron,41.0,0.006688963210702341,41.43485,2.148164
41, la Clota,,,,
42,Horta,43.0,0.0037280312444523344,41.434525,2.155207
43,Vilapicina i la Torre Llobeta,44.0,0.0037537537537537537,41.428812,2.176841
44,Porta,45.0,0.002997938916994566,41.431466,2.176745
45,el Turó de la Peira,46.0,0.002178649237472767,41.431706,2.1669169999999998
46,Can Peguera,47.0,0.0038022813688212928,41.436347,2.1649279999999997
47,la Guineueta,48.0,0.0046612802983219395,41.440794,2.167679
48,Canyelles,49.0,0.002936857562408223,41.442941999999995,2.16335
49,les Roquetes,50.0,0.002002503128911139,41.448184000000005,2.178608
50,Verdun,51.0,0.005046863734679163,41.442522,2.1753009999999997
51,la Prosperitat,52.0,0.003457814661134163,41.440591999999995,2.1805630000000003
52,la Trinitat Nova,53.0,0.0027457440966501922,41.448733000000004,2.184592
53,Torre Baró,54.0,0.0022988505747126436,41.459986,2.181035
54,Ciutat Meridiana,55.0,0.0030100334448160534,41.460485999999996,2.175162
55,Vallbona,56.0,0.005025125628140704,41.462949,2.182793
56,la Trinitat Vella,57.0,0.0032292787944025836,41.45048,2.191216
57,Baró de Viver,58.0,0.007246376811594203,41.446787,2.201171
58,el Bon Pastor,59.0,0.002600404507367813,41.444071,2.202441
59,Sant Andreu,60.0,0.0031195008798592227,41.446094,2.193292
60,la Sagrera,61.0,0.0037262872628726286,41.421049,2.187421
61,el Congrés i els Indians,62.0,0.00591910555738244,41.424569,2.1789959999999997
62,Navas,63.0,0.0022143489813994687,41.418078,2.181434
63,el Camp de l'Arpa del Clot,64.0,0.0034746351633078527,41.416757000000004,2.183661
64,el Clot,65.0,0.0023561090541905083,41.408477000000005,2.192809
65,el Parc i la Llacuna del Poblenou,66.0,0.0036809815950920245,41.4037,2.193572
66,la Vila Olímpica del Poblenou,67.0,0.007550018875047188,41.393638,2.1966200000000002
67,el Poblenou,68.0,0.0038290513833992095,41.397726,2.195649
68,Diagonal Mar i el Front Marítim del Poblenou,69.0,0.0022228396776882466,41.404315000000004,2.211487
69,el Besòs i el Maresme,70.0,0.0028857579358343237,41.418331,2.2106529999999998
70,Provençals del Poblenou,71.0,0.003430531732418525,41.416222,2.204847
71,Sant Martí de Provençals,72.0,0.004293447825275341,41.416227,2.1993840000000002
72,la Verneda i la Pau,73.0,0.002494180246092451,41.423208,2.2016259999999996
